date,depression,anxiety,suicide,worry,fear,worrying,sad,Country
2020-01-01,25,45,0,0,0,0,0,AU
2020-01-02,31,71,22,0,15,0,23,AU
2020-01-03,24,39,0,0,31,39,0,AU
2020-01-04,25,47,0,0,16,0,0,AU
2020-01-05,36,57,0,0,16,0,49,AU
2020-01-06,44,39,21,0,43,0,22,AU
2020-01-07,40,44,0,0,0,73,0,AU
2020-01-08,48,52,21,0,29,0,0,AU
2020-01-09,33,57,0,20,14,0,0,AU
2020-01-10,54,44,22,0,60,0,47,AU
2020-01-11,42,42,0,0,49,42,26,AU
2020-01-12,40,63,23,89,16,0,24,AU
2020-01-13,49,55,40,39,27,0,21,AU
2020-01-14,47,40,19,0,52,0,0,AU
2020-01-15,38,42,0,0,40,0,42,AU
2020-01-16,51,75,42,61,28,36,0,AU
2020-01-17,50,43,22,0,30,0,46,AU
2020-01-18,38,33,0,23,16,42,26,AU
2020-01-19,54,52,22,22,30,0,0,AU
2020-01-20,46,81,20,20,28,0,0,AU
2020-01-21,69,62,63,0,28,36,22,AU
2020-01-22,40,75,21,0,0,0,0,AU
2020-01-23,29,54,42,0,28,0,44,AU
2020-01-24,50,50,44,0,15,0,24,AU
2020-01-25,63,66,0,23,33,0,0,AU
2020-01-26,42,63,0,47,16,0,0,AU
2020-01-27,41,61,21,0,58,0,0,AU
2020-01-28,40,56,21,100,28,0,22,AU
2020-01-29,47,69,21,20,28,0,22,AU
2020-01-30,54,64,21,0,28,0,22,AU
2020-01-31,57,41,44,21,45,0,0,AU
2020-02-01,65,55,23,68,32,0,25,AU
2020-02-02,50,69,0,43,15,39,0,AU
2020-02-03,43,53,20,20,97,0,43,AU
2020-02-04,44,47,0,41,14,0,0,AU
2020-02-05,29,75,21,0,14,0,0,AU
2020-02-06,68,74,0,40,14,0,43,AU
2020-02-07,35,66,44,43,15,0,23,AU
2020-02-08,57,66,23,22,47,0,0,AU
2020-02-09,61,63,22,0,90,0,46,AU
2020-02-10,56,62,20,19,54,35,0,AU
2020-02-11,55,61,20,0,27,0,21,AU
2020-02-12,42,64,0,19,27,0,0,AU
2020-02-13,31,52,20,0,14,0,21,AU
2020-02-14,61,63,0,0,15,0,23,AU
2020-02-15,53,81,47,23,80,0,25,AU
2020-02-16,46,68,88,85,45,0,23,AU
2020-02-17,38,69,20,0,14,35,0,AU
2020-02-18,55,69,20,38,13,0,42,AU
2020-02-19,67,80,0,0,41,0,64,AU
2020-02-20,28,50,20,0,41,35,21,AU
2020-02-21,19,46,65,0,59,0,23,AU
2020-02-22,50,44,0,69,16,0,25,AU
2020-02-23,72,70,0,21,15,0,23,AU
2020-02-24,53,74,19,0,52,33,40,AU
2020-02-25,65,71,20,0,40,0,21,AU
2020-02-26,58,59,39,38,13,34,21,AU
2020-02-27,45,61,0,0,27,0,21,AU
2020-02-28,63,95,64,21,0,0,0,AU
2020-02-29,78,44,0,46,32,0,25,AU
2020-03-01,31,66,22,21,15,0,23,AU
2020-03-02,51,83,98,57,67,0,62,AU
2020-03-03,55,75,59,19,53,0,0,AU
2020-03-04,27,75,39,0,40,0,0,AU
2020-03-05,47,72,19,75,26,0,0,AU
2020-03-06,37,74,64,21,58,0,0,AU
2020-03-07,42,48,24,23,0,42,25,AU
2020-03-08,51,53,45,65,61,39,24,AU
2020-03-09,52,54,39,0,13,0,42,AU
2020-03-10,72,60,0,0,40,34,62,AU
2020-03-11,75,56,0,38,13,0,0,AU
2020-03-12,67,33,19,56,26,0,0,AU
2020-03-13,35,53,0,20,41,0,21,AU
2020-03-14,44,43,46,67,79,0,49,AU
2020-03-15,34,51,22,0,59,0,23,AU
2020-03-16,40,61,38,0,39,0,20,AU
2020-03-17,53,66,57,18,65,33,0,AU
2020-03-18,41,77,58,57,53,0,41,AU
2020-03-19,43,66,57,19,39,33,0,AU
2020-03-20,39,46,61,79,56,36,22,AU
2020-03-21,39,78,67,0,30,0,0,AU
2020-03-22,31,46,58,0,79,34,0,AU
2020-03-23,75,58,18,17,73,0,19,AU
2020-03-24,50,76,36,17,49,0,57,AU
2020-03-25,32,53,37,36,63,32,20,AU
2020-03-26,57,50,0,0,25,0,0,AU
2020-03-27,60,69,38,18,39,100,0,AU
2020-03-28,54,80,42,20,43,0,44,AU
2020-03-29,37,65,39,19,39,0,0,AU
2020-03-30,51,60,17,17,94,0,0,AU
2020-03-31,31,72,0,34,48,31,0,AU
2020-04-01,53,46,53,17,61,0,0,AU
2020-04-02,43,43,0,17,36,0,0,AU
2020-04-03,59,49,19,18,13,0,20,AU
2020-04-04,39,31,0,40,0,0,43,AU
2020-04-05,31,44,20,38,41,0,21,AU
2020-04-06,48,61,18,35,37,0,0,AU
2020-04-07,51,59,37,0,50,96,39,AU
2020-04-08,35,43,18,18,37,0,19,AU
2020-04-09,67,50,39,19,79,0,0,AU
2020-04-10,56,47,60,20,41,0,0,AU
2020-04-11,37,74,0,0,44,0,0,AU
2020-04-12,45,46,22,0,59,0,0,AU
2020-04-13,50,59,0,60,28,0,22,AU
2020-04-14,42,35,75,0,13,0,40,AU
2020-04-15,65,41,37,0,25,0,0,AU
2020-04-16,45,53,37,0,75,32,39,AU
2020-04-17,47,50,19,37,26,0,20,AU
2020-04-18,41,50,0,0,14,0,22,AU
2020-04-19,50,56,21,0,42,36,0,AU
2020-04-20,40,66,71,0,24,0,19,AU
2020-04-21,64,57,18,0,38,0,19,AU
2020-04-22,58,64,55,18,13,64,0,AU
2020-04-23,37,35,53,17,48,0,19,AU
2020-04-24,30,51,0,18,38,0,20,AU
2020-04-25,29,48,0,0,14,0,22,AU
2020-04-26,66,42,20,0,0,0,0,AU
2020-04-27,60,72,36,0,62,0,19,AU
2020-04-28,50,33,18,34,48,0,0,AU
2020-04-29,73,67,17,17,36,61,74,AU
2020-04-30,69,57,49,0,22,0,17,AU
2020-05-01,49,72,75,36,51,0,39,AU
2020-05-02,78,64,21,21,15,0,23,AU
2020-05-03,69,65,21,0,43,0,22,AU
2020-05-04,49,72,70,17,36,0,0,AU
2020-05-05,66,75,0,33,23,0,55,AU
2020-05-06,64,37,52,34,24,30,0,AU
2020-05-07,53,64,53,51,36,31,0,AU
2020-05-08,58,67,0,18,63,0,0,AU
2020-05-09,56,75,43,0,73,0,23,AU
2020-05-10,100,50,0,0,72,0,22,AU
2020-05-11,70,77,73,18,37,32,19,AU
2020-05-12,67,77,18,35,50,0,58,AU
2020-05-13,60,65,36,0,49,63,19,AU
2020-05-14,85,62,18,0,49,31,19,AU
2020-05-15,37,58,39,56,26,0,0,AU
2020-05-16,40,60,23,22,31,0,0,AU
2020-05-17,70,52,21,0,100,73,22,AU
2020-05-18,34,51,0,0,61,0,0,AU
2020-05-19,31,48,18,17,48,31,0,AU
2020-05-20,69,85,72,17,24,31,57,AU
2020-05-21,60,52,0,0,37,0,19,AU
2020-05-22,65,61,20,0,40,0,0,AU
2020-05-23,43,72,0,0,45,0,0,AU
2020-05-24,59,61,0,0,0,0,45,AU
2020-05-25,33,61,38,55,51,0,20,AU
2020-05-26,42,49,0,18,25,0,0,AU
2020-05-27,63,64,38,55,39,33,0,AU
2020-05-28,52,58,37,0,38,0,59,AU
2020-05-29,28,65,60,19,14,0,21,AU
2020-05-30,63,56,23,44,15,0,0,AU
2020-05-31,51,60,21,20,14,37,22,AU
2020-06-01,32,83,19,36,88,0,0,AU
2020-06-02,52,72,19,18,13,0,39,AU
2020-06-03,59,74,37,18,38,0,59,AU
2020-06-04,52,46,0,54,13,0,0,AU
2020-06-05,36,66,21,20,42,0,44,AU
2020-06-06,61,52,0,0,63,0,0,AU
2020-06-07,59,47,45,22,31,0,24,AU
2020-06-08,43,68,0,20,14,36,0,AU
2020-06-09,61,100,37,35,37,0,19,AU
2020-06-10,53,77,0,55,51,0,0,AU
2020-06-11,69,54,0,0,39,0,40,AU
2020-06-12,39,43,0,0,0,0,22,AU
2020-06-13,51,59,45,22,31,0,0,AU
2020-06-14,87,65,21,40,99,0,0,AU
2020-06-15,76,35,19,18,64,0,0,AU
2020-06-16,67,79,0,0,39,0,41,AU
2020-06-17,64,76,19,37,65,0,20,AU
2020-06-18,40,57,57,0,39,0,20,AU
2020-06-19,33,64,21,40,42,0,22,AU
2020-06-20,24,63,46,0,31,40,0,AU
2020-06-21,49,72,0,21,44,0,0,AU
2020-06-22,54,62,39,0,0,0,0,AU
2020-06-23,51,77,19,19,0,0,21,AU
2020-06-24,69,44,0,0,14,0,0,AU
2020-06-25,59,52,40,19,0,35,0,AU
2020-06-26,64,35,22,21,15,0,0,AU
2020-06-27,58,53,94,46,0,0,0,AU
2020-06-28,66,58,0,22,30,0,24,AU
2020-06-29,35,50,40,0,27,0,0,AU
2020-06-30,59,62,0,0,27,0,42,AU
2020-07-01,47,61,0,0,84,36,0,AU
2020-07-02,42,65,40,20,14,0,0,AU
2020-07-03,22,37,21,0,29,0,45,AU
2020-07-04,29,47,0,0,16,0,0,AU
2020-07-05,61,60,0,0,0,0,24,AU
2020-07-06,75,48,20,0,42,0,22,AU
2020-07-07,43,66,41,40,14,0,0,AU
2020-07-08,56,77,0,0,73,0,45,AU
2020-07-09,50,59,41,0,14,0,0,AU
2020-07-10,38,40,22,21,15,0,23,AU
2020-07-11,57,55,23,23,16,0,0,AU
